,,Erwärmung,unknown,Sport,Erwärmung,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO13_Erwaermung.mp4,0:01:24,56184,unknown,unknown,"Erwärmung,Fliegerspiel",,Bewegen und Handeln,Laufen,,Schüler/in,Körpererfahrung,Sporthalle,Unknown,,Handball
,,Balltanz,unknown,Sport,Balltanz,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO14_Spiel_Balltanz.mp4,0:04:23,175187,unknown,unknown,"Balltanz,Geschicklichkeit,Rhythmusfähigkeit",,Bewegen und Handeln,Spiele (Bewegen nach Musik),Kooperieren,Schüler/in,"Körpererfahrung, Kooperation",Sporthalle,Unknown,,Handball
,,Reise nach Jerusalem,unknown,Sport,Reise nach Jerusalem,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO15_SpielReisenachDingsbums.mp4,0:04:20,172531,unknown,unknown,"Spiel,Schnelligkeit,Musik",,Bewegen und Handeln,"Spiele, Laufen",,Schüler/in,Leistung,Sporthalle,Unknown,,Handball
,,Marsch,unknown,Sport,Marsch,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO16_SpielMarsch.mp4,0:01:34,64194,unknown,unknown,"Spiel,Marsch,Koordinationsfähigkeit",,Methoden anwenden,Spiele,"Erklären, Demonstrieren, Motivieren",Lehrerin,,Sporthalle,Unknown,,Handball
,,Tanzchoreografie,unknown,Sport,Tanzchoreografie,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO17_Tanz.mp4,0:14:56,572009,unknown,unknown,"Tanz,Choreografie,Musik",,Methoden anwenden,Bewegungsfolgen gestalten und darstellen,"Erklären, Demonstrieren, Motivieren",Lehrerin,,Sporthalle,Unknown,,Handball
,,Verabschiedung,unknown,Sport,Verabschiedung,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO18_Verabschiedung.mp4,0:01:21,54484,unknown,unknown,"Verabschiedung,Feedback",,Methoden anwenden,"Verabschiedung, Stehen","Besprechen, Beurteilen, Feedback, Gesprächsrunde",Lehrerin,,Sporthalle,Unknown,,Handball
,,"Begrüßung, Erwärmung",unknown,Sport,"Begrüßung, Erwärmung",Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO19_1_ErklaeungSpielFlieger.mp4,0:02:59,92981,unknown,unknown,"Begrüßung,Ablauf,Instruktion,Üben",,Methoden anwenden,"Erklären, Laufen, Spiele (Bewegen nach Musik)","Erklären, Demonstrieren",Lehrerin,,Sporthalle,Klassenstufe 1,,Handball
,,Balltanz,unknown,Sport,Balltanz,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO20_1_SpielTanz.mp4,0:05:15,188919,unknown,unknown,"Instruktion,Balltanz,Kooperation",,Methoden anwenden,Erklären,"Erklären, Demonstrieren, Korrektur",Lehrerin,,Sporthalle,Klassenstufe 1,,Handball
,,Marsch,unknown,Sport,Marsch,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO21_1_SpielMarsch.mp4,0:00:19,12993,unknown,unknown,"Spiel,Marsch,Koordinationsfähigkeit",,Methoden anwenden,Spiele,"Erklären, Demonstrieren, Motivieren",Lehrerin,,Sporthalle,Klassenstufe 1,,Handball
,,Tanzchoreografie,unknown,Sport,Tanzchoreografie,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO22_1_Tanzchoreographie.mp4,0:13:18,512328,unknown,unknown,"Tanz,Choreografie,Musik",,Bewegen und Handeln,Bewegungsfolgen gestalten und darstellen,Präsentieren,Schüler/in,"Körpererfahrung, Wagnis, Leistung",Sporthalle,Klassenstufe 1,,Handball
,,Verabschiedung,unknown,Sport,Verabschiedung,Universität Leipzig,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,VIDEO23_1_Verabschiedung.mp4,0:01:00,27609,unknown,unknown,"Verabschiedung,Feedback",,Methoden anwenden,"Verabschiedung, Stehen","Besprechen, Beurteilen, Feedback, Gesprächsrunde",Lehrerin,,Sporthalle,Klassenstufe 1,,Handball
