,,video14,unknown,Sport,Balltanz,unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:04:23,175187,unknown,unknown,"Balltanz,Geschicklichkeit,Rhythmusfähigkeit",,Bewegen und Handeln,Spiele (Bewegen nach Musik),Kooperieren,Schüler/in,"Körpererfahrung, Kooperation",Sporthalle,Unknown,,Handball,VIDEO14_Spiel_Balltanz.mp4
,,video15,unknown,Sport,Reise nach Jerusalem,unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:04:20,172531,unknown,unknown,"Spiel,Schnelligkeit,Musik",,Bewegen und Handeln,"Spiele, Laufen",,Schüler/in,Leistung,Sporthalle,Unknown,,Handball,VIDEO15_SpielReisenachDingsbums.mp4
,,video16,unknown,Sport,Marsch,unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:01:34,64194,unknown,unknown,"Spiel,Marsch,Koordinationsfähigkeit",,Methoden anwenden,Spiele,"Erklären, Demonstrieren, Motivieren",Lehrerin,,Sporthalle,Unknown,,Handball,VIDEO16_SpielMarsch.mp4
,,video17,unknown,Sport,Tanzchoreografie,unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:14:56,572009,unknown,unknown,"Tanz,Choreografie,Musik",,Methoden anwenden,Bewegungsfolgen gestalten und darstellen,"Erklären, Demonstrieren, Motivieren",Lehrerin,,Sporthalle,Unknown,,Handball,VIDEO17_Tanz.mp4
,,video18,unknown,Sport,Verabschiedung,unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:01:21,54484,unknown,unknown,"Verabschiedung,Feedback",,Methoden anwenden,"Verabschiedung, Stehen","Besprechen, Beurteilen, Feedback, Gesprächsrunde",Lehrerin,,Sporthalle,Unknown,,Handball,VIDEO18_Verabschiedung.mp4
,,video19,unknown,Sport,"Begrüßung, Erwärmung",unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:02:59,92981,unknown,unknown,"Begrüßung,Ablauf,Instruktion,Üben",,Methoden anwenden,"Erklären, Laufen, Spiele (Bewegen nach Musik)","Erklären, Demonstrieren",Lehrerin,,Sporthalle,Klassenstufe 1,,Handball,VIDEO19_1_ErklaeungSpielFlieger.mp4
,,video20,unknown,Sport,Balltanz,unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:05:15,188919,unknown,unknown,"Instruktion,Balltanz,Kooperation",,Methoden anwenden,Erklären,"Erklären, Demonstrieren, Korrektur",Lehrerin,,Sporthalle,Klassenstufe 1,,Handball,VIDEO20_1_SpielTanz.mp4
,,video21,unknown,Sport,Marsch,unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:00:19,12993,unknown,unknown,"Spiel,Marsch,Koordinationsfähigkeit",,Methoden anwenden,Spiele,"Erklären, Demonstrieren, Motivieren",Lehrerin,,Sporthalle,Klassenstufe 1,,Handball,VIDEO21_1_SpielMarsch.mp4
,,video22,unknown,Sport,Tanzchoreografie,unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:13:18,512328,unknown,unknown,"Tanz,Choreografie,Musik",,Bewegen und Handeln,Bewegungsfolgen gestalten und darstellen,Präsentieren,Schüler/in,"Körpererfahrung, Wagnis, Leistung",Sporthalle,Klassenstufe 1,,Handball,VIDEO22_1_Tanzchoreographie.mp4
,,video23,unknown,Sport,Verabschiedung,unknown,Maike & Lisa,2017,video,video/mp4,mp4,unknown,de,-,,unknown,,0:01:00,27609,unknown,unknown,"Verabschiedung,Feedback",,Methoden anwenden,"Verabschiedung, Stehen","Besprechen, Beurteilen, Feedback, Gesprächsrunde",Lehrerin,,Sporthalle,Klassenstufe 1,,Handball,VIDEO23_1_Verabschiedung.mp4
